1,0.690247,-0.551838,-1.26941e-06,
2,0.690247,-0.551838,-1.93383e-08,
3,0.690247,-0.551838,-1.28833e-08,
4,0.690247,-0.551838,-1.77711e-08,
5,0.690247,-0.551838,-1.28629e-08,
6,0.690247,-0.551838,-1.77676e-08,
7,0.690247,-0.551838,-1.28639e-08,
8,0.690247,-0.551838,-1.77678e-08,
9,0.690247,-0.551838,-1.28639e-08,
10,0.690247,-0.551838,-1.77678e-08,
11,0.690247,-0.551838,-1.28639e-08,
12,0.690247,-0.551838,-1.28639e-08,
13,0.690247,-0.551838,-1.28639e-08,
14,0.690247,-0.551838,-1.28639e-08,
15,0.690247,-0.551838,-1.28639e-08,
16,0.690247,-0.551838,-1.28639e-08,
17,0.690247,-0.551838,-1.28639e-08,
18,0.690247,-0.551838,-1.28639e-08,
19,0.690247,-0.551838,-1.28639e-08,
20,0.690247,-0.551838,-1.28639e-08,
21,0.690247,-0.551838,-1.28639e-08,
22,0.690247,-0.551838,-1.28639e-08,
23,0.690247,-0.551838,-1.28639e-08,
24,0.690247,-0.551838,-1.28639e-08,
25,0.690247,-0.551838,-1.28639e-08,
26,0.690247,-0.551838,-1.28639e-08,
27,0.690247,-0.551838,-1.28639e-08,
28,0.690247,-0.551838,-1.28639e-08,
29,0.690247,-0.551838,-1.28639e-08,
30,0.690247,-0.551838,-1.28639e-08,
31,0.690247,-0.551838,-1.28639e-08,
32,0.690247,-0.551838,-1.28639e-08,
33,0.690247,-0.551838,-1.28639e-08,
34,0.690247,-0.551838,-1.28639e-08,
35,0.690247,-0.551838,-1.28639e-08,
36,0.690247,-0.551838,-1.28639e-08,
37,0.690247,-0.551838,-1.28639e-08,
38,0.690247,-0.551838,-1.28639e-08,
39,0.690247,-0.551838,-1.28639e-08,
40,0.690247,-0.551838,-1.28639e-08,
41,0.690247,-0.551838,-1.28639e-08,
42,0.690247,-0.551838,-1.28639e-08,
43,0.690247,-0.551838,-1.28639e-08,
44,0.690247,-0.551838,-1.28639e-08,
45,0.690247,-0.551838,-1.28639e-08,
46,0.690247,-0.551838,-1.28639e-08,
47,0.690247,-0.551838,-1.28639e-08,
48,0.690247,-0.551838,-1.28639e-08,
49,0.690247,-0.551838,-1.28639e-08,
50,0.690247,-0.551838,-1.28639e-08,
51,0.690247,-0.551838,-1.28639e-08,
52,0.690247,-0.551838,-1.28639e-08,
53,0.690247,-0.551838,-1.28639e-08,
54,0.690247,-0.551838,-1.28639e-08,
55,0.690247,-0.551838,-1.28639e-08,
56,0.690247,-0.551838,-1.28639e-08,
57,0.690247,-0.551838,-1.28639e-08,
58,0.690247,-0.551838,-1.28639e-08,
59,0.690247,-0.551838,-1.28639e-08,
60,0.690247,-0.551838,-1.28639e-08,
61,0.690247,-0.551838,-1.28639e-08,
62,0.690247,-0.551838,-1.28639e-08,
63,0.690247,-0.551838,-1.28639e-08,
64,0.690247,-0.551838,-1.28639e-08,
65,0.690247,-0.551838,-1.28639e-08,
66,0.690247,-0.551838,-1.28639e-08,
67,0.690247,-0.551838,-1.28639e-08,
68,0.690247,-0.551838,-1.28639e-08,
69,0.690247,-0.551838,-1.28639e-08,
70,0.690247,-0.551838,-1.28639e-08,
71,0.690247,-0.551838,-1.28639e-08,
72,0.690247,-0.551838,-1.28639e-08,
73,0.690247,-0.551838,-1.28639e-08,
74,0.690247,-0.551838,-1.28639e-08,
75,0.690247,-0.551838,-1.28639e-08,
76,0.690247,-0.551838,-1.28639e-08,
77,0.690247,-0.551838,-1.28639e-08,
78,0.690247,-0.551838,-1.28639e-08,
79,0.690247,-0.551838,-1.28639e-08,
80,0.690247,-0.551838,-1.28639e-08,
81,0.690247,-0.551838,-1.28639e-08,
82,0.690247,-0.551838,-1.28639e-08,
83,0.690247,-0.551838,-1.28639e-08,
84,0.690247,-0.551838,-1.28639e-08,
85,0.690247,-0.551838,-1.28639e-08,
86,0.690247,-0.551838,-1.28639e-08,
87,0.690247,-0.551838,-1.28639e-08,
88,0.690247,-0.551838,-1.28639e-08,
89,0.690247,-0.551838,-1.28639e-08,
90,0.690247,-0.551838,-1.28639e-08,
91,0.690247,-0.551838,-1.28639e-08,
92,0.690247,-0.551838,-1.28639e-08,
93,0.690247,-0.551838,-1.28639e-08,
94,0.690247,-0.551838,-1.28639e-08,
95,0.690247,-0.551838,-1.28639e-08,
96,0.690247,-0.551838,-1.28639e-08,
97,0.690247,-0.551838,-1.28639e-08,
98,0.690247,-0.551838,-1.28639e-08,
99,0.690247,-0.551838,-1.28639e-08,
100,0.690247,-0.551838,-1.28639e-08,
101,0.690247,-0.551838,-1.28639e-08,
102,0.690247,-0.551838,-1.28639e-08,
103,0.690247,-0.551838,-1.28639e-08,
104,0.690247,-0.551838,-1.28639e-08,
105,0.690247,-0.551838,-1.28639e-08,
106,0.690247,-0.551838,-1.28639e-08,
107,0.690247,-0.551838,-1.28639e-08,
108,0.690247,-0.551838,-1.28639e-08,
109,0.690247,-0.551838,-1.28639e-08,
110,0.690247,-0.551838,-1.28639e-08,
111,0.690247,-0.551838,-1.28639e-08,
112,0.690247,-0.551838,-1.28639e-08,
113,0.690247,-0.551838,-1.28639e-08,
114,0.690247,-0.551838,-1.28639e-08,
115,0.690247,-0.551838,-1.28639e-08,
116,0.690247,-0.551838,-1.28639e-08,
117,0.690247,-0.551838,-1.28639e-08,
118,0.690247,-0.551838,-1.28639e-08,
119,0.690247,-0.551838,-1.28639e-08,
120,0.690247,-0.551838,-1.28639e-08,
121,0.690247,-0.551838,-1.28639e-08,
122,0.690247,-0.551838,-1.28639e-08,
123,0.690247,-0.551838,-1.28639e-08,
124,0.690247,-0.551838,-1.28639e-08,
125,0.690247,-0.551838,-1.28639e-08,
126,0.690247,-0.551838,-1.28639e-08,
127,0.690247,-0.551838,-1.28639e-08,
128,0.690247,-0.551838,-1.28639e-08,
129,0.690247,-0.551838,-1.28639e-08,
130,0.690247,-0.551838,-1.28639e-08,
131,0.690247,-0.551838,-1.28639e-08,
132,0.690247,-0.551838,-1.28639e-08,
133,0.690247,-0.551838,-1.28639e-08,
134,0.690247,-0.551838,-1.28639e-08,
135,0.690247,-0.551838,-1.28639e-08,
136,0.690247,-0.551838,-1.28639e-08,
137,0.690247,-0.551838,-1.28639e-08,
138,0.690247,-0.551838,-1.28639e-08,
139,0.690247,-0.551838,-1.28639e-08,
140,0.690247,-0.551838,-1.28639e-08,
141,0.690247,-0.551838,-1.28639e-08,
142,0.690247,-0.551838,-1.28639e-08,
143,0.690247,-0.551838,-1.28639e-08,
144,0.690247,-0.551838,-1.28639e-08,
145,0.690247,-0.551838,-1.28639e-08,
146,0.690247,-0.551838,-1.28639e-08,
147,0.690247,-0.551838,-1.28639e-08,
148,0.690247,-0.551838,-1.28639e-08,
149,0.690247,-0.551838,-1.28639e-08,
150,0.690247,-0.551838,-1.28639e-08,
151,0.690247,-0.551838,-1.28639e-08,
152,0.690247,-0.551838,-1.28639e-08,
153,0.690247,-0.551838,-1.28639e-08,
154,0.690247,-0.551838,-1.28639e-08,
155,0.690247,-0.551838,-1.28639e-08,
156,0.690247,-0.551838,-1.28639e-08,
157,0.690247,-0.551838,-1.28639e-08,
158,0.690247,-0.551838,-1.28639e-08,
159,0.690247,-0.551838,-1.28639e-08,
160,0.690247,-0.551838,-1.28639e-08,
161,0.690247,-0.551838,-1.28639e-08,
162,0.690247,-0.551838,-1.28639e-08,
163,0.690247,-0.551838,-1.28639e-08,
164,0.690247,-0.551838,-1.28639e-08,
165,0.690247,-0.551838,-1.28639e-08,
166,0.690247,-0.551838,-1.28639e-08,
167,0.690247,-0.551838,-1.28639e-08,
168,0.690247,-0.551838,-1.28639e-08,
169,0.690247,-0.551838,-1.28639e-08,
170,0.690247,-0.551838,-1.28639e-08,
171,0.690247,-0.551838,-1.28639e-08,
172,0.690247,-0.551838,-1.28639e-08,
173,0.690247,-0.551838,-1.28639e-08,
174,0.690247,-0.551838,-1.28639e-08,
175,0.690247,-0.551838,-1.28639e-08,
176,0.690247,-0.551838,-1.28639e-08,
177,0.690247,-0.551838,-1.28639e-08,
178,0.690247,-0.551838,-1.28639e-08,
179,0.690247,-0.551838,-1.28639e-08,
180,0.690247,-0.551838,-1.28639e-08,
181,0.690247,-0.551838,-1.28639e-08,
182,0.690247,-0.551838,-1.28639e-08,
183,0.690247,-0.551838,-1.28639e-08,
184,0.690247,-0.551838,-1.28639e-08,
185,0.690247,-0.551838,-1.28639e-08,
186,0.690247,-0.551838,-1.28639e-08,
187,0.690247,-0.551838,-1.28639e-08,
188,0.690247,-0.551838,-1.28639e-08,
189,0.690247,-0.551838,-1.28639e-08,
190,0.690247,-0.551838,-1.28639e-08,
191,0.690247,-0.551838,-1.28639e-08,
192,0.690247,-0.551838,-1.28639e-08,
193,0.690247,-0.551838,-1.28639e-08,
194,0.690247,-0.551838,-1.28639e-08,
195,0.690247,-0.551838,-1.28639e-08,
196,0.690247,-0.551838,-1.28639e-08,
197,0.690247,-0.551838,-1.28639e-08,
198,0.690247,-0.551838,-1.28639e-08,
199,0.690247,-0.551838,-1.28639e-08,
200,0.690247,-0.551838,-1.28639e-08,
201,0.690247,-0.551838,-1.28639e-08,
202,0.690247,-0.551838,-1.28639e-08,
203,0.690247,-0.551838,-1.28639e-08,
204,0.690247,-0.551838,-1.28639e-08,
205,0.690247,-0.551838,-1.28639e-08,
206,0.690247,-0.551838,-1.28639e-08,
207,0.690247,-0.551838,-1.28639e-08,
208,0.690247,-0.551838,-1.28639e-08,
209,0.690247,-0.551838,-1.28639e-08,
210,0.690247,-0.551838,-1.28639e-08,
211,0.690247,-0.551838,-1.28639e-08,
212,0.690247,-0.551838,-1.28639e-08,
213,0.690247,-0.551838,-1.28639e-08,
214,0.690247,-0.551838,-1.28639e-08,
215,0.690247,-0.551838,-1.28639e-08,
216,0.690247,-0.551838,-1.28639e-08,
217,0.690247,-0.551838,-1.28639e-08,
218,0.690247,-0.551838,-1.28639e-08,
219,0.690247,-0.551838,-1.28639e-08,
220,0.690247,-0.551838,-1.28639e-08,
221,0.690247,-0.551838,-1.28639e-08,
222,0.690247,-0.551838,-1.28639e-08,
223,0.690247,-0.551838,-1.28639e-08,
224,0.690247,-0.551838,-1.28639e-08,
225,0.690247,-0.551838,-1.28639e-08,
226,0.690247,-0.551838,-1.28639e-08,
227,0.690247,-0.551838,-1.28639e-08,
228,0.690247,-0.551838,-1.28639e-08,
229,0.690247,-0.551838,-1.28639e-08,
230,0.690247,-0.551838,-1.28639e-08,
231,0.690247,-0.551838,-1.28639e-08,
232,0.690247,-0.551838,-1.28639e-08,
233,0.690247,-0.551838,-1.28639e-08,
234,0.690247,-0.551838,-1.28639e-08,
235,0.690247,-0.551838,-1.28639e-08,
236,0.690247,-0.551838,-1.28639e-08,
237,0.690247,-0.551838,-1.28639e-08,
238,0.690247,-0.551838,-1.28639e-08,
239,0.690247,-0.551838,-1.28639e-08,
240,0.690247,-0.551838,-1.28639e-08,
241,0.690247,-0.551838,-1.28639e-08,
242,0.690247,-0.551838,-1.28639e-08,
243,0.690247,-0.551838,-1.28639e-08,
244,0.690247,-0.551838,-1.28639e-08,
245,0.690247,-0.551838,-1.28639e-08,
246,0.690247,-0.551838,-1.28639e-08,
247,0.690247,-0.551838,-1.28639e-08,
248,0.690247,-0.551838,-1.28639e-08,
249,0.690247,-0.551838,-1.28639e-08,
250,0.690247,-0.551838,-1.28639e-08,
251,0.690247,-0.551838,-1.28639e-08,
252,0.690247,-0.551838,-1.28639e-08,
253,0.690247,-0.551838,-1.28639e-08,
254,0.690247,-0.551838,-1.28639e-08,
255,0.690247,-0.551838,-1.28639e-08,
256,0.690247,-0.551838,-1.28639e-08,
257,0.690247,-0.551838,-1.28639e-08,
258,0.690247,-0.551838,-1.28639e-08,
259,0.690247,-0.551838,-1.28639e-08,
260,0.690247,-0.551838,-1.28639e-08,
261,0.690247,-0.551838,-1.28639e-08,
262,0.690247,-0.551838,-1.28639e-08,
263,0.690247,-0.551838,-1.28639e-08,
264,0.690247,-0.551838,-1.28639e-08,
265,0.690247,-0.551838,-1.28639e-08,
266,0.690247,-0.551838,-1.28639e-08,
267,0.690247,-0.551838,-1.28639e-08,
268,0.690247,-0.551838,-1.28639e-08,
269,0.690247,-0.551838,-1.28639e-08,
270,0.690247,-0.551838,-1.28639e-08,
271,0.690247,-0.551838,-1.28639e-08,
272,0.690247,-0.551838,-1.28639e-08,
273,0.690247,-0.551838,-1.28639e-08,
274,0.690247,-0.551838,-1.28639e-08,
275,0.690247,-0.551838,-1.28639e-08,
276,0.690247,-0.551838,-1.28639e-08,
277,0.690247,-0.551838,-1.28639e-08,
278,0.690247,-0.551838,-1.28639e-08,
279,0.690247,-0.551838,-1.28639e-08,
