1,-0.738046,-0.664377,-1.28004e-06,
2,-0.738046,-0.664377,-1.46728e-08,
3,-0.738046,-0.664377,-1.77318e-08,
4,-0.738046,-0.664377,-1.28945e-08,
5,-0.738046,-0.664377,-1.77497e-08,
6,-0.738046,-0.664377,-1.28846e-08,
7,-0.738046,-0.664377,-1.77463e-08,
8,-0.738046,-0.664377,-1.2886e-08,
9,-0.738046,-0.664377,-1.77468e-08,
10,-0.738046,-0.664377,-1.28859e-08,
11,-0.738046,-0.664377,-1.77467e-08,
12,-0.738046,-0.664377,-1.77467e-08,
13,-0.738046,-0.664377,-1.77467e-08,
14,-0.738046,-0.664377,-1.77467e-08,
15,-0.738046,-0.664377,-1.77467e-08,
16,-0.738046,-0.664377,-1.77467e-08,
17,-0.738046,-0.664377,-1.77467e-08,
18,-0.738046,-0.664377,-1.77467e-08,
19,-0.738046,-0.664377,-1.77467e-08,
20,-0.738046,-0.664377,-1.77467e-08,
21,-0.738046,-0.664377,-1.77467e-08,
22,-0.738046,-0.664377,-1.77467e-08,
23,-0.738046,-0.664377,-1.77467e-08,
24,-0.738046,-0.664377,-1.77467e-08,
25,-0.738046,-0.664377,-1.77467e-08,
26,-0.738046,-0.664377,-1.77467e-08,
27,-0.738046,-0.664377,-1.77467e-08,
28,-0.738046,-0.664377,-1.77467e-08,
29,-0.738046,-0.664377,-1.77467e-08,
30,-0.738046,-0.664377,-1.77467e-08,
31,-0.738046,-0.664377,-1.77467e-08,
32,-0.738046,-0.664377,-1.77467e-08,
33,-0.738046,-0.664377,-1.77467e-08,
34,-0.738046,-0.664377,-1.77467e-08,
35,-0.738046,-0.664377,-1.77467e-08,
36,-0.738046,-0.664377,-1.77467e-08,
37,-0.738046,-0.664377,-1.77467e-08,
38,-0.738046,-0.664377,-1.77467e-08,
39,-0.738046,-0.664377,-1.77467e-08,
40,-0.738046,-0.664377,-1.77467e-08,
41,-0.738046,-0.664377,-1.77467e-08,
42,-0.738046,-0.664377,-1.77467e-08,
43,-0.738046,-0.664377,-1.77467e-08,
44,-0.738046,-0.664377,-1.77467e-08,
45,-0.738046,-0.664377,-1.77467e-08,
46,-0.738046,-0.664377,-1.77467e-08,
47,-0.738046,-0.664377,-1.77467e-08,
48,-0.738046,-0.664377,-1.77467e-08,
49,-0.738046,-0.664377,-1.77467e-08,
50,-0.738046,-0.664377,-1.77467e-08,
51,-0.738046,-0.664377,-1.77467e-08,
52,-0.738046,-0.664377,-1.77467e-08,
53,-0.738046,-0.664377,-1.77467e-08,
54,-0.738046,-0.664377,-1.77467e-08,
55,-0.738046,-0.664377,-1.77467e-08,
56,-0.738046,-0.664377,-1.77467e-08,
57,-0.738046,-0.664377,-1.77467e-08,
58,-0.738046,-0.664377,-1.77467e-08,
59,-0.738046,-0.664377,-1.77467e-08,
60,-0.738046,-0.664377,-1.77467e-08,
61,-0.738046,-0.664377,-1.77467e-08,
62,-0.738046,-0.664377,-1.77467e-08,
63,-0.738046,-0.664377,-1.77467e-08,
64,-0.738046,-0.664377,-1.77467e-08,
65,-0.738046,-0.664377,-1.77467e-08,
66,-0.738046,-0.664377,-1.77467e-08,
67,-0.738046,-0.664377,-1.77467e-08,
68,-0.738046,-0.664377,-1.77467e-08,
69,-0.738046,-0.664377,-1.77467e-08,
70,-0.738046,-0.664377,-1.77467e-08,
71,-0.738046,-0.664377,-1.77467e-08,
72,-0.738046,-0.664377,-1.77467e-08,
73,-0.738046,-0.664377,-1.77467e-08,
74,-0.738046,-0.664377,-1.77467e-08,
75,-0.738046,-0.664377,-1.77467e-08,
76,-0.738046,-0.664377,-1.77467e-08,
77,-0.738046,-0.664377,-1.77467e-08,
78,-0.738046,-0.664377,-1.77467e-08,
79,-0.738046,-0.664377,-1.77467e-08,
80,-0.738046,-0.664377,-1.77467e-08,
81,-0.738046,-0.664377,-1.77467e-08,
82,-0.738046,-0.664377,-1.77467e-08,
83,-0.738046,-0.664377,-1.77467e-08,
84,-0.738046,-0.664377,-1.77467e-08,
85,-0.738046,-0.664377,-1.77467e-08,
86,-0.738046,-0.664377,-1.77467e-08,
87,-0.738046,-0.664377,-1.77467e-08,
88,-0.738046,-0.664377,-1.77467e-08,
89,-0.738046,-0.664377,-1.77467e-08,
90,-0.738046,-0.664377,-1.77467e-08,
91,-0.738046,-0.664377,-1.77467e-08,
92,-0.738046,-0.664377,-1.77467e-08,
93,-0.738046,-0.664377,-1.77467e-08,
94,-0.738046,-0.664377,-1.77467e-08,
95,-0.738046,-0.664377,-1.77467e-08,
96,-0.738046,-0.664377,-1.77467e-08,
97,-0.738046,-0.664377,-1.77467e-08,
98,-0.738046,-0.664377,-1.77467e-08,
99,-0.738046,-0.664377,-1.77467e-08,
100,-0.738046,-0.664377,-1.77467e-08,
101,-0.738046,-0.664377,-1.77467e-08,
102,-0.738046,-0.664377,-1.77467e-08,
103,-0.738046,-0.664377,-1.77467e-08,
104,-0.738046,-0.664377,-1.77467e-08,
105,-0.738046,-0.664377,-1.77467e-08,
106,-0.738046,-0.664377,-1.77467e-08,
107,-0.738046,-0.664377,-1.77467e-08,
108,-0.738046,-0.664377,-1.77467e-08,
109,-0.738046,-0.664377,-1.77467e-08,
110,-0.738046,-0.664377,-1.77467e-08,
111,-0.738046,-0.664377,-1.77467e-08,
112,-0.738046,-0.664377,-1.77467e-08,
113,-0.738046,-0.664377,-1.77467e-08,
114,-0.738046,-0.664377,-1.77467e-08,
115,-0.738046,-0.664377,-1.77467e-08,
116,-0.738046,-0.664377,-1.77467e-08,
117,-0.738046,-0.664377,-1.77467e-08,
118,-0.738046,-0.664377,-1.77467e-08,
119,-0.738046,-0.664377,-1.77467e-08,
120,-0.738046,-0.664377,-1.77467e-08,
121,-0.738046,-0.664377,-1.77467e-08,
122,-0.738046,-0.664377,-1.77467e-08,
123,-0.738046,-0.664377,-1.77467e-08,
124,-0.738046,-0.664377,-1.77467e-08,
125,-0.738046,-0.664377,-1.77467e-08,
126,-0.738046,-0.664377,-1.77467e-08,
127,-0.738046,-0.664377,-1.77467e-08,
128,-0.738046,-0.664377,-1.77467e-08,
129,-0.738046,-0.664377,-1.77467e-08,
130,-0.738046,-0.664377,-1.77467e-08,
131,-0.738046,-0.664377,-1.77467e-08,
132,-0.738046,-0.664377,-1.77467e-08,
133,-0.738046,-0.664377,-1.77467e-08,
134,-0.738046,-0.664377,-1.77467e-08,
135,-0.738046,-0.664377,-1.77467e-08,
136,-0.738046,-0.664377,-1.77467e-08,
137,-0.738046,-0.664377,-1.77467e-08,
138,-0.738046,-0.664377,-1.77467e-08,
139,-0.738046,-0.664377,-1.77467e-08,
140,-0.738046,-0.664377,-1.77467e-08,
141,-0.738046,-0.664377,-1.77467e-08,
142,-0.738046,-0.664377,-1.77467e-08,
143,-0.738046,-0.664377,-1.77467e-08,
144,-0.738046,-0.664377,-1.77467e-08,
145,-0.738046,-0.664377,-1.77467e-08,
146,-0.738046,-0.664377,-1.77467e-08,
147,-0.738046,-0.664377,-1.77467e-08,
148,-0.738046,-0.664377,-1.77467e-08,
149,-0.738046,-0.664377,-1.77467e-08,
150,-0.738046,-0.664377,-1.77467e-08,
151,-0.738046,-0.664377,-1.77467e-08,
152,-0.738046,-0.664377,-1.77467e-08,
153,-0.738046,-0.664377,-1.77467e-08,
154,-0.738046,-0.664377,-1.77467e-08,
155,-0.738046,-0.664377,-1.77467e-08,
156,-0.738046,-0.664377,-1.77467e-08,
157,-0.738046,-0.664377,-1.77467e-08,
158,-0.738046,-0.664377,-1.77467e-08,
159,-0.738046,-0.664377,-1.77467e-08,
160,-0.738046,-0.664377,-1.77467e-08,
161,-0.738046,-0.664377,-1.77467e-08,
162,-0.738046,-0.664377,-1.77467e-08,
163,-0.738046,-0.664377,-1.77467e-08,
164,-0.738046,-0.664377,-1.77467e-08,
165,-0.738046,-0.664377,-1.77467e-08,
166,-0.738046,-0.664377,-1.77467e-08,
167,-0.738046,-0.664377,-1.77467e-08,
168,-0.738046,-0.664377,-1.77467e-08,
169,-0.738046,-0.664377,-1.77467e-08,
170,-0.738046,-0.664377,-1.77467e-08,
171,-0.738046,-0.664377,-1.77467e-08,
172,-0.738046,-0.664377,-1.77467e-08,
173,-0.738046,-0.664377,-1.77467e-08,
174,-0.738046,-0.664377,-1.77467e-08,
175,-0.738046,-0.664377,-1.77467e-08,
176,-0.738046,-0.664377,-1.77467e-08,
177,-0.738046,-0.664377,-1.77467e-08,
178,-0.738046,-0.664377,-1.77467e-08,
179,-0.738046,-0.664377,-1.77467e-08,
180,-0.738046,-0.664377,-1.77467e-08,
181,-0.738046,-0.664377,-1.77467e-08,
182,-0.738046,-0.664377,-1.77467e-08,
183,-0.738046,-0.664377,-1.77467e-08,
184,-0.738046,-0.664377,-1.77467e-08,
185,-0.738046,-0.664377,-1.77467e-08,
186,-0.738046,-0.664377,-1.77467e-08,
187,-0.738046,-0.664377,-1.77467e-08,
188,-0.738046,-0.664377,-1.77467e-08,
189,-0.738046,-0.664377,-1.77467e-08,
190,-0.738046,-0.664377,-1.77467e-08,
191,-0.738046,-0.664377,-1.77467e-08,
192,-0.738046,-0.664377,-1.77467e-08,
193,-0.738046,-0.664377,-1.77467e-08,
194,-0.738046,-0.664377,-1.77467e-08,
195,-0.738046,-0.664377,-1.77467e-08,
196,-0.738046,-0.664377,-1.77467e-08,
197,-0.738046,-0.664377,-1.77467e-08,
198,-0.738046,-0.664377,-1.77467e-08,
199,-0.738046,-0.664377,-1.77467e-08,
200,-0.738046,-0.664377,-1.77467e-08,
201,-0.738046,-0.664377,-1.77467e-08,
202,-0.738046,-0.664377,-1.77467e-08,
203,-0.738046,-0.664377,-1.77467e-08,
204,-0.738046,-0.664377,-1.77467e-08,
205,-0.738046,-0.664377,-1.77467e-08,
206,-0.738046,-0.664377,-1.77467e-08,
207,-0.738046,-0.664377,-1.77467e-08,
208,-0.738046,-0.664377,-1.77467e-08,
209,-0.738046,-0.664377,-1.77467e-08,
210,-0.738046,-0.664377,-1.77467e-08,
211,-0.738046,-0.664377,-1.77467e-08,
212,-0.738046,-0.664377,-1.77467e-08,
213,-0.738046,-0.664377,-1.77467e-08,
214,-0.738046,-0.664377,-1.77467e-08,
215,-0.738046,-0.664377,-1.77467e-08,
216,-0.738046,-0.664377,-1.77467e-08,
217,-0.738046,-0.664377,-1.77467e-08,
218,-0.738046,-0.664377,-1.77467e-08,
219,-0.738046,-0.664377,-1.77467e-08,
220,-0.738046,-0.664377,-1.77467e-08,
221,-0.738046,-0.664377,-1.77467e-08,
222,-0.738046,-0.664377,-1.77467e-08,
223,-0.738046,-0.664377,-1.77467e-08,
224,-0.738046,-0.664377,-1.77467e-08,
225,-0.738046,-0.664377,-1.77467e-08,
226,-0.738046,-0.664377,-1.77467e-08,
227,-0.738046,-0.664377,-1.77467e-08,
228,-0.738046,-0.664377,-1.77467e-08,
229,-0.738046,-0.664377,-1.77467e-08,
230,-0.738046,-0.664377,-1.77467e-08,
231,-0.738046,-0.664377,-1.77467e-08,
232,-0.738046,-0.664377,-1.77467e-08,
233,-0.738046,-0.664377,-1.77467e-08,
234,-0.738046,-0.664377,-1.77467e-08,
235,-0.738046,-0.664377,-1.77467e-08,
236,-0.738046,-0.664377,-1.77467e-08,
237,-0.738046,-0.664377,-1.77467e-08,
238,-0.738046,-0.664377,-1.77467e-08,
239,-0.738046,-0.664377,-1.77467e-08,
240,-0.738046,-0.664377,-1.77467e-08,
241,-0.738046,-0.664377,-1.77467e-08,
242,-0.738046,-0.664377,-1.77467e-08,
243,-0.738046,-0.664377,-1.77467e-08,
244,-0.738046,-0.664377,-1.77467e-08,
245,-0.738046,-0.664377,-1.77467e-08,
246,-0.738046,-0.664377,-1.77467e-08,
247,-0.738046,-0.664377,-1.77467e-08,
248,-0.738046,-0.664377,-1.77467e-08,
249,-0.738046,-0.664377,-1.77467e-08,
250,-0.738046,-0.664377,-1.77467e-08,
251,-0.738046,-0.664377,-1.77467e-08,
252,-0.738046,-0.664377,-1.77467e-08,
253,-0.738046,-0.664377,-1.77467e-08,
254,-0.738046,-0.664377,-1.77467e-08,
255,-0.738046,-0.664377,-1.77467e-08,
256,-0.738046,-0.664377,-1.77467e-08,
257,-0.738046,-0.664377,-1.77467e-08,
258,-0.738046,-0.664377,-1.77467e-08,
259,-0.738046,-0.664377,-1.77467e-08,
260,-0.738046,-0.664377,-1.77467e-08,
261,-0.738046,-0.664377,-1.77467e-08,
262,-0.738046,-0.664377,-1.77467e-08,
263,-0.738046,-0.664377,-1.77467e-08,
264,-0.738046,-0.664377,-1.77467e-08,
265,-0.738046,-0.664377,-1.77467e-08,
266,-0.738046,-0.664377,-1.77467e-08,
267,-0.738046,-0.664377,-1.77467e-08,
268,-0.738046,-0.664377,-1.77467e-08,
269,-0.738046,-0.664377,-1.77467e-08,
270,-0.738046,-0.664377,-1.77467e-08,
271,-0.738046,-0.664377,-1.77467e-08,
272,-0.738046,-0.664377,-1.77467e-08,
273,-0.738046,-0.664377,-1.77467e-08,
274,-0.738046,-0.664377,-1.77467e-08,
275,-0.738046,-0.664377,-1.77467e-08,
276,-0.738046,-0.664377,-1.77467e-08,
277,-0.738046,-0.664377,-1.77467e-08,
278,-0.738046,-0.664377,-1.77467e-08,
279,-0.738046,-0.664377,-1.77467e-08,
280,-0.738046,-0.664377,-1.77467e-08,
281,-0.738046,-0.664377,-1.77467e-08,
282,-0.738046,-0.664377,-1.77467e-08,
283,-0.738046,-0.664377,-1.77467e-08,
284,-0.738046,-0.664377,-1.77467e-08,
285,-0.738046,-0.664377,-1.77467e-08,
286,-0.738046,-0.664377,-1.77467e-08,
287,-0.738046,-0.664377,-1.77467e-08,
288,-0.738046,-0.664377,-1.77467e-08,
289,-0.738046,-0.664377,-1.77467e-08,
290,-0.738046,-0.664377,-1.77467e-08,
291,-0.738046,-0.664377,-1.77467e-08,
292,-0.738046,-0.664377,-1.77467e-08,
293,-0.738046,-0.664377,-1.77467e-08,
294,-0.738046,-0.664377,-1.77467e-08,
295,-0.738046,-0.664377,-1.77467e-08,
296,-0.738046,-0.664377,-1.77467e-08,
297,-0.738046,-0.664377,-1.77467e-08,
298,-0.738046,-0.664377,-1.77467e-08,
299,-0.738046,-0.664377,-1.77467e-08,
300,-0.738046,-0.664377,-1.77467e-08,
301,-0.738046,-0.664377,-1.77467e-08,
302,-0.738046,-0.664377,-1.77467e-08,
303,-0.738046,-0.664377,-1.77467e-08,
304,-0.738046,-0.664377,-1.77467e-08,
305,-0.738046,-0.664377,-1.77467e-08,
306,-0.738046,-0.664377,-1.77467e-08,
307,-0.738046,-0.664377,-1.77467e-08,
308,-0.738046,-0.664377,-1.77467e-08,
309,-0.738046,-0.664377,-1.77467e-08,
310,-0.738046,-0.664377,-1.77467e-08,
311,-0.738046,-0.664377,-1.77467e-08,
312,-0.738046,-0.664377,-1.77467e-08,
